Production Budget,Gross Profit
24000000,-12276380
14000000,-12446444
13000000,-12490807
50000000,-12527349
25000000,-12586051
20000000,-12594916
30000000,-12878177
20000000,-12977817
15000000,-12986660
40000000,-12999619
20000000,-13052916
17000000,-13082321
19100000,-13134354
13400000,-13235753
19000000,-13254497
40000000,-13263335
20000000,-13312732
14000000,-13376708
15000000,-13409754
25000000,-13410239
38000000,-13444823
30000000,-13518595
19200000,-13582540
14500000,-13627243
14200000,-13656694
14000000,-13733033
25000000,-13746179
24200000,-13752421
25000000,-13770965
32000000,-13804762
15000000,-13851422
19000000,-13896325
20000000,-13906275
45000000,-13922582
16000000,-14155772
25000000,-14157732
99000000,-14252559
15500000,-14262385
16000000,-14314597
35000000,-14393947
20000000,-14468244
15000000,-14471269
16800000,-14518911
16000000,-14532722
50000000,-14619082
30000000,-14686369
20000000,-14686392
40000000,-14731320
15000000,-14785818
15000000,-14938153
20000000,-14968025
15000000,-14977559
15000000,-14996529
275000000,-14997885
31000000,-15173016
15500000,-15181377
22000000,-15243588
20000000,-15495889
20000000,-15546673
25000000,-15554919
18000000,-15598587
20000000,-15616462
25000000,-15629715
45000000,-15632857
25000000,-15686698
35000000,-15717410
16000000,-15905188
21000000,-15953962
16000000,-15968369
28000000,-15968557
20000000,-16272254
18000000,-16380847
35000000,-16623557
17000000,-16635393
58000000,-16651372
25000000,-16791406
18000000,-16800490
65000000,-16835850
77600000,-16919875
35000000,-17032254
30000000,-17114426
18000000,-17372578
20000000,-17492819
27000000,-17647911
18000000,-17685000
18000000,-17690392
20000000,-17754000
25000000,-17835005
18000000,-17905047
22000000,-17934980
25000000,-18207232
20000000,-18296719
23000000,-18326623
20000000,-18832908
29000000,-18933634
20000000,-18934093
20000000,-19126383
40000000,-19209514
20000000,-19245699
40000000,-19277550
68000000,-19307481
28000000,-19405442
20000000,-19523376
35000000,-19538362
25000000,-19702589
20000000,-19722057
26000000,-19845828
30000000,-19903179
24000000,-19915768
38000000,-20168442
40000000,-20243923
23000000,-20284343
21000000,-20393838
70000000,-20747239
21600000,-20808846
60000000,-20993812
30000000,-21154425
25000000,-21228655
25000000,-21288367
40000000,-21405773
30000000,-21406846
65000000,-21454636
60000000,-21477550
36500000,-21500000
35000000,-21785949
62000000,-21840983
30000000,-22244314
35000000,-22493812
35000000,-22745254
46500000,-22773374
26700000,-22828552
40000000,-22966569
26000000,-23076041
35000000,-23153990
175000000,-23283185
65000000,-23363757
45000000,-23455268
50000000,-23612961
40000000,-23659233
29200000,-23733302
31000000,-23779510
25000000,-23809997
50000000,-23878362
65000000,-24349158
27000000,-24587877
35000000,-24842466
25000000,-24853851
25000000,-24870885
25000000,-24908884
30000000,-25125502
30000000,-25152888
32000000,-25321967
30000000,-25684211
26000000,-25864564
30000000,-26278012
58000000,-26372630
80000000,-26491142
42000000,-26548337
120000000,-26605538
90000000,-26643867
50000000,-26762748
47500000,-26781896
30000000,-27282698
38000000,-27629284
40000000,-27654117
37500000,-27686691
30000000,-29351401
60000000,-29603866
30000000,-29689015
30000000,-29831168
42000000,-30243078
100000000,-30451359
70000000,-31007708
44000000,-31657368
36000000,-31979010
40000000,-32270448
55000000,-32402031
38000000,-32526959
33000000,-32642313
59000000,-32925947
33000000,-32929042
41000000,-33315476
156000000,-33396176
42000000,-33485675
35000000,-34213468
36000000,-34421457
50000000,-34494078
70000000,-34582838
35000000,-34946101
45000000,-35323503
175000000,-35369664
60000000,-35851512
47000000,-35977304
85000000,-36943236
50000000,-37339713
60000000,-37531380
40000000,-38336215
55000000,-38777608
40000000,-39084160
40000000,-39265577
80000000,-39852958
40000000,-39920877
67000000,-41642229
50000000,-41995779
65000000,-43225568
45000000,-44926294
60000000,-45183621
55000000,-45478542
46500000,-46477746
60000000,-46766780
55000000,-48478171
50000000,-48749383
70000000,-49892067
70000000,-50334996
130000000,-50923322
125000000,-63357202
90000000,-69533984
120000000,-70371823
77500000,-75978328
90000000,-79448583
150000000,-110450242
