Production Budget,Gross Profit
100000000,149488115
90000000,149373970
68000000,149214143
10000000,148973685
12000000,148191915
40000000,147384627
30000000,147025498
80000000,146739416
65000000,146739043
60000000,146598789
25000000,146302226
187500000,146271037
15000000,145903019
75000000,144519367
70000000,143463976
100000000,143388614
250000000,143151347
150000000,142817841
30000000,142778667
232000000,142085065
117000000,141751370
97000000,141521247
80000000,141468935
40000000,141053657
45000000,140736412
30000000,140466405
35000000,140361578
82500000,140140812
85000000,139614744
30000000,139173206
25000000,139035753
40000000,138710620
55000000,137903624
150000000,137594577
60000000,137578586
12000000,137570720
30000000,136842739
100000000,136827677
37000000,136567581
75000000,136562435
50000000,136450317
60000000,136439693
200000000,136359676
155000000,135930148
30000000,135889117
50000000,135798265
60000000,135194085
80000000,134974953
55000000,134624452
20000000,134218168
60000000,134058503
80000000,133693609
15000000,133095566
31000000,132981261
33000000,132552290
30000000,132502774
24000000,132229050
40000000,131350009
37000000,131167798
17500000,131086910
80000000,130315681
30000000,130247805
35000000,130103952
45000000,129807445
50000000,129748880
40000000,129590606
31000000,129558438
45000000,129278214
40000000,128904682
25000000,128733800
27000000,128564919
23000000,128496097
140000000,128314513
66000000,128169619
137500000,128073859
95000000,128050874
75000000,128035572
175000000,127469017
30000000,125769678
10000000,125759694
190000000,125709697
63000000,125657593
35000000,124846429
145000000,124806430
80000000,124774690
10000000,124639780
22000000,124590987
25000000,124228078
13000000,123617305
85000000,123542162
120000000,122981799
75000000,122504758
40000000,122498338
19000000,122344255
50000000,122185754
130000000,121499665
36000000,121300954
26000000,120850273
100000000,120796009
30000000,120355828
85000000,120190324
112000000,120017848
17000000,119890774
45000000,119640401
110000000,119155503
11000000,118262388
25000000,117033509
17000000,116735284
40000000,116553592
45000000,115971922
60000000,115863783
125000000,115759682
37000000,115566881
65000000,115148897
40000000,115011165
15000000,113955898
90000000,113932174
15000000,113885873
77000000,113453132
70000000,113353431
25000000,112984788
40000000,112962083
90000000,112910991
28000000,112886353
54000000,112617328
210000000,112459006
60000000,112450423
16000000,112256712
20000000,112121212
12000000,111681790
35000000,111595891
40000000,110886329
90000000,110859554
135000000,110724600
10000000,110453155
135000000,110328374
40000000,109804632
102500000,109782709
120000000,109545589
100000000,109461378
14500000,109160597
13000000,108778347
22500000,108763370
10000000,108514727
32000000,108428499
15000000,108327692
10800000,107409778
85000000,106932158
170000000,106928112
50000000,106399644
40000000,106196885
35000000,106123897
70000000,105807183
35000000,105783360
13000000,105763442
28000000,105162752
45000000,104871103
25000000,103745578
30000000,103085295
65000000,103065700
60000000,102778384
14000000,101592104
12000000,101373764
50000000,101189401
90000000,101145256
80000000,101038616
58000000,100905324
85000000,100708462
80000000,100585259
50000000,100429371
60000000,99946489
30000000,99779728
28000000,99710550
40000000,99474906
17000000,99044347
12000000,98989157
20000000,98537627
65000000,98527824
65000000,98295654
55000000,97269033
50000000,97142328
40000000,97047376
91000000,96861183
42000000,96708527
13000000,96421911
50000000,96195159
40000000,96123083
25000000,95832383
32000000,94539117
25000000,94295584
11500000,93578449
220000000,93477717
30000000,92529966
10000000,92445196
57000000,92217355
65000000,91974557
12000000,91028188
45000000,90808837
80000000,90805525
70000000,90379930
73000000,89870525
12000000,88916299
40000000,88884494
14000000,88836002
70000000,88702748
85000000,88613482
38000000,88577874
16000000,88504817
80000000,88311558
150000000,88202668
25000000,87798051
35000000,87357172
40000000,87234389
12000000,86963392
125000000,86856088
70000000,86815529
40000000,86646119
40000000,86331750
40000000,86069509
13000000,86034125
62000000,85864886
50000000,85569212
18000000,85215094
30000000,85150424
30000000,85121608
130000000,85080810
144000000,85008658
28000000,84914167
18000000,84912961
40000000,84827316
61000000,84594548
45000000,82990741
35000000,82729621
52500000,82112435
55000000,81143605
40000000,81032272
17000000,80778356
75000000,80708695
12000000,80618117
70000000,80562164
32500000,80464875
40000000,80455994
10000000,80384306
37000000,80378084
50000000,80214162
35000000,79962525
10000000,79692583
40000000,79627047
38000000,79425156
80000000,78926474
38000000,78809717
80000000,78750817
23600000,78636596
50000000,78402901
53000000,78159781
82500000,77888063
60000000,77551594
12000000,77309178
20000000,77174917
69000000,76951861
25000000,76925161
50200000,76731325
37500000,76686274
180000000,76585882
20000000,76407655
26000000,76404019
54000000,76402010
30000000,76030660
17000000,75670237
15000000,75257450
30000000,75173042
24000000,75135571
40000000,74830111
65000000,74829625
185000000,74357408
30000000,74283753
11000000,74278712
18000000,74096558
55000000,74075270
29000000,74008792
35000000,73757621
12000000,73450484
25000000,73406855
28000000,73379287
12000000,73369830
38000000,73336398
15500000,73111837
21000000,73045328
17500000,73008336
85000000,72794205
65000000,72768975
30000000,72716321
20000000,72678948
90000000,72525156
22000000,72270488
20000000,72088460
25000000,71633833
79000000,71519217
61000000,71493015
21500000,71487651
88000000,71487563
11000000,71438670
100000000,71377916
60000000,71377412
31000000,71306500
16000000,71041569
100000000,70936470
95000000,70720921
12000000,70497035
92500000,70339667
67500000,69989730
63700000,69903463
47000000,69773317
40000000,69738840
38000000,69650646
28000000,69531134
27500000,69173002
14000000,68925064
50000000,68729073
10000000,68610769
45000000,68417762
30000000,68345423
10000000,67959374
38000000,67887837
51000000,67583844
70000000,67431619
46000000,67402302
11000000,67356170
32000000,67296462
16500000,67292062
110000000,67241171
40000000,67235592
70000000,67022245
30000000,66906440
20000000,66858578
40000000,66548738
40000000,66511453
28000000,66500826
48000000,66491088
31000000,66470701
27000000,66466095
15000000,66357930
75000000,66267370
28000000,66050951
60000000,66037057
40000000,65945357
16000000,65742618
85000000,65422946
20000000,65146165
37000000,64857425
85000000,64717124
47500000,64714531
48000000,64610386
60000000,64514011
40000000,64407366
30000000,64156456
28000000,63943956
65000000,63468793
40000000,63429755
39000000,63332135
37000000,63003780
35000000,62799865
15000000,62514401
18000000,62227619
16000000,62208812
110000000,62022517
11000000,61989781
40000000,61985431
15000000,61954311
14000000,61525718
82500000,61485708
20000000,61461343
20000000,61424988
30000000,61388487
50000000,61300835
40000000,61162106
35000000,61096018
13000000,60798736
35000000,60713069
21000000,60452811
38000000,60230839
37000000,60143987
10000000,60133905
35000000,60104304
24000000,59660160
140000000,59646680
18000000,59635035
32000000,59553797
37000000,59068724
55000000,58805580
20000000,58769428
11000000,58752402
10000000,58722848
20000000,58613981
10000000,58541786
35000000,58291478
10000000,58264973
10000000,58220952
160000000,57986320
30000000,57956618
25000000,57917283
110000000,57910690
65000000,57519874
84000000,57507355
23000000,57171596
19000000,57086711
12800000,57021476
38000000,56763758
25000000,56249176
49000000,56002056
40000000,55989590
17000000,55835710
18000000,55695194
10000000,55520633
150000000,55440387
55000000,55387072
26000000,55275291
50000000,55246941
22000000,55229695
35000000,55221182
50000000,55103784
99000000,55076395
13000000,54867998
23000000,54735925
24000000,54672579
30000000,54646831
30000000,54393749
20000000,54180745
35000000,54102315
20000000,53964713
27000000,53681183
60000000,53461527
17000000,53355813
10000000,53354114
20000000,53206343
16000000,52848446
21500000,52826015
35000000,52775050
70000000,52737201
10000000,52556228
30000000,52409520
40000000,52302502
15000000,52215435
25000000,52208711
30000000,52148538
60000000,51946251
35000000,51648359
10000000,51603136
40000000,51455875
40000000,51126600
11000000,51076141
67500000,51056530
37500000,50973016
80000000,50818912
20000000,50743839
20000000,50652284
32000000,50332450
30000000,50276156
15000000,50167430
115000000,50149302
30000000,50131391
90000000,49877913
42000000,49678442
29000000,49652207
35000000,49606030
36000000,49309093
15000000,49232714
28000000,49026186
60000000,48996113
138000000,48976250
22000000,48949793
16000000,48733391
22000000,48536870
60000000,48119662
40000000,48069880
20000000,47950723
32000000,47915361
120000000,47849187
22000000,47698495
15700000,47667847
50000000,47651543
11000000,47586407
35000000,47182803
40000000,47145086
20000000,46950887
15000000,46788393
40000000,46778557
20000000,46776576
25000000,46594792
25000000,46390601
45000000,46323299
30000000,46235001
35000000,46209222
20000000,46143005
24000000,46027933
25000000,46009334
53000000,45837872
32000000,45593167
12000000,45577765
20000000,45457811
28000000,45421224
100000000,45395745
11000000,45178935
150000000,45080579
50000000,44704227
60000000,44551148
75000000,44512771
13000000,44189408
15000000,44168692
10000000,44104225
60000000,44100903
80000000,43368842
17500000,43365364
24000000,43348218
58000000,42929666
15000000,42907734
33000000,42898100
11000000,42797409
20000000,42758010
15000000,42586606
110000000,42364370
18000000,42278166
35000000,42220596
18000000,42217171
22000000,42160680
39000000,42150788
13000000,41837234
42000000,41833602
26000000,41647574
10000000,41620593
60000000,41134059
13200000,41123210
15000000,40934178
35000000,40885196
25000000,40882103
20000000,40831067
30000000,40689968
16000000,40506120
24000000,40282881
35000000,40281179
17000000,40263440
50000000,39895930
100000000,39716717
80000000,39668350
10000000,39486874
18000000,39193655
24000000,38989834
30000000,38984536
32000000,38587268
40000000,38269970
35000000,38026302
16000000,37774833
64000000,37636047
45000000,37513490
15000000,37460543
13000000,37445860
19000000,37445534
132900000,37393899
20000000,37293371
30000000,37255916
20000000,36884479
72500000,36862966
20000000,36822960
30000000,36742138
13000000,36733545
170000000,36627518
16000000,36545707
12700000,36496532
50000000,36234503
35000000,36118378
20000000,35975672
23000000,35807172
30000000,35759911
58000000,35672764
55000000,35552675
60000000,35538560
30000000,35390493
30000000,35343694
35000000,35187088
28000000,35129909
180000000,35098356
15000000,34894223
45000000,34604820
16000000,34517763
20000000,34404202
30000000,34352607
25000000,34183821
30000000,34170447
40000000,34156610
28000000,34108587
16000000,34103808
12500000,33870970
40000000,33866088
42500000,33847393
70000000,33735965
80000000,33325743
20000000,33191101
35000000,33170792
50000000,32751189
19000000,32733921
55000000,32473024
40000000,32295262
10000000,32226657
15000000,32011449
12000000,31924923
45000000,31904429
16000000,31707417
30000000,31623819
12500000,31583403
15000000,31526243
30000000,31449135
20000000,31445503
12000000,31353117
35000000,31295121
42000000,31239258
11800000,31043521
19000000,30858465
30000000,30772856
10000000,30749230
50000000,30583311
39000000,30538833
30000000,30512680
60000000,30482317
103000000,30401882
149000000,30357126
25000000,30279608
25000000,30090374
35000000,30084116
35000000,30063726
37000000,30029956
36000000,29967750
75000000,29949584
12000000,29924774
40000000,29807260
34000000,29802928
22000000,29695362
13000000,29446455
13000000,29195766
13000000,29174545
25000000,29160818
18000000,29158652
33000000,29020814
11000000,28994347
10000000,28985577
20000000,28958353
60000000,28832210
135000000,28818556
17000000,28707924
20000000,28680977
102000000,28673154
34000000,28582520
59000000,28527651
27000000,28495466
80000000,28469033
26000000,28393687
10000000,28364855
30000000,28228460
35000000,28211088
34800000,28031715
85000000,28026383
21000000,27977233
20000000,27879572
23000000,27813834
20000000,27666013
25000000,27543354
20000000,27508505
25000000,27427346
25000000,27367022
28000000,27307857
20000000,27300771
60000000,27123569
29000000,27000339
20000000,26844357
25000000,26812400
20000000,26790428
35000000,26721826
100000000,26704591
20000000,26627836
20000000,26604054
20000000,26255763
35000000,26197045
50000000,26119388
30000000,26096200
19000000,25972183
25000000,25738810
12000000,25584304
17000000,25493506
18000000,25402515
35000000,25376247
13000000,25358392
40000000,25282732
23000000,25259031
45000000,25216497
20000000,25173738
15000000,25127259
70000000,24973540
20000000,24821299
77500000,24528919
20000000,24513466
55000000,24312301
10000000,24240572
15000000,24238443
18000000,24227490
60000000,24154026
18000000,24091262
30000000,24052249
52000000,23997067
20000000,23888531
10000000,23886017
12000000,23830713
20000000,23658157
30000000,23572822
25000000,23530887
15000000,23512850
10000000,23512260
30000000,23296424
13000000,23262783
48000000,23171825
18000000,23166033
27500000,23078411
30000000,23048539
135000000,22956466
35000000,22897191
16500000,22880876
60000000,22812456
18000000,22651864
21000000,22632609
55000000,22548122
120000000,22531552
58000000,22480566
15000000,22466538
10000000,22430721
13000000,22402802
30000000,22339566
15000000,22336874
17000000,22233233
40000000,22226214
23000000,22060480
49000000,22004627
20000000,21975388
11000000,21943247
10750000,21825443
36000000,21824533
160000000,21674817
14000000,21579177
10000000,21556959
20000000,21342180
20000000,21296320
23000000,21195779
10000000,21164747
60000000,21079566
30000000,21078541
15000000,21068890
17000000,21028230
12000000,20909437
40000000,20862471
10000000,20768449
12000000,20700439
45000000,20595141
75000000,20572749
45000000,20532491
30000000,20145607
15000000,20106706
13000000,20069303
14000000,20044909
55000000,19966854
55000000,19870866
15000000,19820335
40000000,19795070
22000000,19771168
20000000,19686769
13500000,19535736
200000000,19535492
15000000,19533783
113500000,19499811
50000000,19411370
38600000,19387299
15000000,19247816
68000000,19173475
26000000,19043870
80000000,19010667
37000000,18909910
28000000,18752858
20000000,18585047
30000000,18575965
30000000,18559999
25000000,18530281
40000000,18501127
60000000,18481410
11400000,18430239
30000000,18330757
21000000,18319801
20000000,18164784
27000000,18160110
18000000,18133014
60000000,18080697
110000000,17983283
69000000,17796502
35000000,17649951
12000000,17549145
40000000,17438389
25000000,17425450
10000000,17317872
27000000,17270131
21000000,17017873
50000000,16961644
20000000,16773510
20000000,16720752
10000000,16716191
14000000,16443277
30000000,16438538
20000000,16265745
27500000,16107627
60000000,15965567
16000000,15943401
32500000,15925971
42000000,15852177
25000000,15686409
20000000,15472739
18500000,15454018
35000000,15363790
19000000,15352162
25000000,15286416
29000000,15264271
15000000,15261293
40000000,15249159
40000000,15247881
15000000,15138912
26000000,15059418
20000000,14787111
75000000,14758389
20000000,14718173
10000000,14660323
45000000,14551283
50000000,14477051
20000000,14454336
11000000,14307405
12500000,14235797
25000000,14217912
18500000,14179264
25000000,14126427
72500000,14009602
12000000,14001741
25000000,13993548
20000000,13943049
95000000,13874967
21000000,13836080
25000000,13749404
25000000,13718031
19000000,13618920
22000000,13609577
10000000,13591043
19000000,13589493
35000000,13543388
30000000,13440721
23000000,13374700
106000000,13266661
37500000,13147416
25000000,13112154
163000000,13038324
28000000,12966716
24000000,12856306
20000000,12838945
40000000,12837989
30000000,12799060
12000000,12761360
20000000,12608019
18000000,12535660
30000000,12531076
15000000,12469621
50000000,12209892
10000000,12198996
11900000,12141617
55000000,12130045
22000000,12061097
10000000,11851362
24000000,11792945
32000000,11603990
10000000,11596074
12000000,11477345
30000000,11457834
35000000,11309644
14000000,11187026
15000000,11170402
13000000,11001573
14500000,10980031
28000000,10959900
20000000,10894247
12000000,10750356
20000000,10703845
35000000,10671512
53000000,10657941
30000000,10520649
31000000,10435501
20000000,10399714
50000000,10282876
20000000,10163785
28000000,10159905
13000000,10014027
20000000,9958228
95000000,9907746
22500000,9898681
19500000,9893634
45000000,9876855
20000000,9870801
12000000,9867665
18000000,9794339
20500000,9741435
40000000,9686263
50000000,9596747
65000000,9575290
15000000,9403192
20000000,9227561
18000000,9148898
18000000,9147349
22000000,9013349
14000000,8815460
14000000,8754472
10100000,8626300
22500000,8554727
33000000,8495213
20000000,8270399
26000000,8246770
35000000,8226146
12000000,8122558
20000000,8058652
18000000,7941437
11000000,7924521
20000000,7911453
25000000,7831707
40000000,7787943
275000000,7778100
18000000,7727044
17000000,7719879
10000000,7704131
26000000,7667319
10000000,7657973
65000000,7516819
10000000,7503828
14000000,7410546
31500000,7271262
25000000,7224624
15000000,7165608
18900000,7163572
40000000,7083412
35000000,7064105
15000000,7018988
13000000,6910624
15000000,6896367
10000000,6891011
80000000,6787530
60000000,6671618
60000000,6655938
14000000,6597806
16000000,6594052
14000000,6537741
12600000,6454534
38000000,6411527
20000000,6308749
50000000,6077088
20000000,5943792
18000000,5910210
15000000,5898221
30000000,5891257
22000000,5882226
30000000,5869934
13000000,5733666
15000000,5688141
15000000,5601987
30000000,5579007
12000000,5475475
20000000,5361206
50000000,5348693
63000000,5310140
10000000,5297318
22000000,5238354
10000000,5121528
10000000,5037867
16500000,4904122
25000000,4863840
13000000,4856688
25000000,4847480
16000000,4769209
16000000,4723581
45000000,4610898
26000000,4601801
44000000,4478084
12000000,4349034
35000000,4340177
10000000,4321070
100000000,4233865
12000000,4221211
25000000,4206732
17000000,4170563
15000000,4153568
15000000,3889972
50000000,3850527
42000000,3688337
20000000,3661038
27500000,3657914
10500000,3640402
70000000,3591500
17000000,3477425
25100000,3475778
43000000,3414530
25000000,3400715
30000000,3339868
20000000,3187506
22000000,3044057
100000000,3039258
25000000,3012862
50000000,2987754
179000000,2982519
30000000,2955399
195000000,2687603
17500000,2659316
28000000,2295028
20000000,2281732
15000000,2224539
10300000,2178635
20000000,2139590
13000000,1929184
10000000,1924041
27000000,1773827
10000000,1766959
18000000,1685588
45000000,1598133
150000000,1525973
23000000,1489150
13000000,1403703
10000000,1360665
25000000,1341896
40000000,1294674
52000000,1139168
22000000,1134075
30000000,962112
20000000,819601
20000000,614661
57500000,585235
15000000,554855
70000000,546865
24000000,474463
35000000,426759
14000000,121177
20000000,81987
180000000,47784
12000000,34913
15000000,-18836
18000000,-79987
42000000,-83334
95000000,-105552
70000000,-207296
40000000,-246043
17000000,-489029
35000000,-519955
29000000,-547055
27500000,-560075
11000000,-568494
72500000,-619695
12500000,-673020
10000000,-736060
25000000,-784615
14000000,-794589
175000000,-868671
100000000,-876344
20000000,-878469
10000000,-1109906
140000000,-1163244
13000000,-1168869
14000000,-1173356
12500000,-1222881
17000000,-1319901
10000000,-1370105
20000000,-1391430
30000000,-1457506
10000000,-1534155
18000000,-1617462
45000000,-1656753
11000000,-1692834
20000000,-1726991
15000000,-1751556
10000000,-1756433
100000000,-1772983
25000000,-1809708
13000000,-1858787
12000000,-1883184
85000000,-1919916
13700000,-1961744
12000000,-1973745
25000000,-2089437
10000000,-2137869
10000000,-2156855
20000000,-2192431
75000000,-2214831
20000000,-2230701
15000000,-2241201
18000000,-2303854
15250000,-2319657
15000000,-2330086
60000000,-2395277
10000000,-2417804
22000000,-2436421
17000000,-2465954
100000000,-2476980
15000000,-2605438
14000000,-2645770
20000000,-2693352
32000000,-2795621
53000000,-2812211
14000000,-2833385
16500000,-2863661
10000000,-2962114
25000000,-3029169
12000000,-3057484
20000000,-3092169
35000000,-3121109
12500000,-3123556
17700000,-3181116
19700000,-3201173
20000000,-3276623
12000000,-3293299
95000000,-3330352
16000000,-3382528
21000000,-3410133
45000000,-3532394
17000000,-3553885
35000000,-3606799
15000000,-3720116
18000000,-3810190
15000000,-3826282
10000000,-3910900
25000000,-3961559
15000000,-4048847
10000000,-4049998
20000000,-4175626
51000000,-4184193
19400000,-4281205
11000000,-4413676
10000000,-4562874
70000000,-4590954
32000000,-4607391
30000000,-4661604
50000000,-4714110
22000000,-4783045
12000000,-4796561
30000000,-4800109
25000000,-4947042
35000000,-5109598
28000000,-5139523
20000000,-5192469
20000000,-5227654
10000000,-5291873
10000000,-5340890
33000000,-5389127
10000000,-5436920
12000000,-5446814
20000000,-5634361
42000000,-5802779
13300000,-6070067
25000000,-6122847
76000000,-6154989
18000000,-6186011
10000000,-6206261
15000000,-6232662
20000000,-6274968
35000000,-6279530
17000000,-6362719
10000000,-6376391
12000000,-6450077
10000000,-6458435
13000000,-6540817
25000000,-6554621
22000000,-6565625
12000000,-6599376
30000000,-6646889
10000000,-6663947
12000000,-6704091
10000000,-6739821
15000000,-6775002
15000000,-6799873
10000000,-6814283
40000000,-7030791
20000000,-7032171
15000000,-7114952
17000000,-7270912
150000000,-7365642
15000000,-7416950
10000000,-7470605
20000000,-7602387
58000000,-7634502
10000000,-7658782
11000000,-7768749
16000000,-7782429
10000000,-7820377
16000000,-7879852
10800000,-7937456
40000000,-7969390
50000000,-7997971
43000000,-8020296
10000000,-8115749
12500000,-8139452
14000000,-8217802
15000000,-8224542
25000000,-8272530
30000000,-8290461
32500000,-8340066
10000000,-8357061
50000000,-8357834
10000000,-8383647
17000000,-8390051
17000000,-8392185
16000000,-8414989
15000000,-8436598
15000000,-8448690
10000000,-8462521
12500000,-8568633
19000000,-8587515
15000000,-8620425
11000000,-8647489
10000000,-8700145
10000000,-8769458
40000000,-8807575
10000000,-8834898
18000000,-8917094
10000000,-8930546
10000000,-8948093
50000000,-8957417
70000000,-8968068
12500000,-8977847
10000000,-9002079
12000000,-9024812
22000000,-9032988
10100000,-9033445
40000000,-9036316
47000000,-9076182
25000000,-9092589
10000000,-9099074
10000000,-9276612
10000000,-9278892
45500000,-9319176
60000000,-9351194
13000000,-9382723
16000000,-9396074
23000000,-9406527
10000000,-9424629
16800000,-9486303
10000000,-9639102
10000000,-9644081
35000000,-9649253
10000000,-9704250
14000000,-9710007
17000000,-9734717
13000000,-9739445
10000000,-9751867
10000000,-9752435
10000000,-9758281
40000000,-9769598
10000000,-9802099
10000000,-9826528
10000000,-9838903
10000000,-9849809
10000000,-9890617
10000000,-9893540
10000000,-9909091
10000000,-9980284
10000000,-9988106
10000000,-9990931
20000000,-10014684
12000000,-10049806
13000000,-10101775
12000000,-10171600
17500000,-10214865
12500000,-10227814
18000000,-10280370
100000000,-10306691
35000000,-10312476
18000000,-10319750
10600000,-10338636
12000000,-10379944
13000000,-10386283
30000000,-10400026
12000000,-10405045
38000000,-10426922
20000000,-10462880
12000000,-10486612
25000000,-10665599
60000000,-10761475
11000000,-10770347
20000000,-10791124
12000000,-10799654
12000000,-10811806
21000000,-10891984
55000000,-11019637
70000000,-11046681
15000000,-11074231
20000000,-11153125
23000000,-11221604
28000000,-11361700
33000000,-11378812
12500000,-11399713
19000000,-11423396
12000000,-11442455
15000000,-11496239
15000000,-11563237
37000000,-11612909
27500000,-11684491
12000000,-11689054
20000000,-11699179
20000000,-11778300
12000000,-11803143
20000000,-11864976
12000000,-11912207
55000000,-11929085
12000000,-11985384
14000000,-12096048
25000000,-12149967
60000000,-12181087
39000000,-12203176
